Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Stone P.J., Hunt E.B.","7203001186;7101703746;","A computer approach to content analysis: Studies using the general inquirer system",1963,"AFIPS Conference Proceedings - 1963 Spring Joint Computer Conference, AFIPS 1963",,,,"241","256",,111,"10.1145/1461551.1461583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962914820&doi=10.1145%2f1461551.1461583&partnerID=40&md5=2fd035d136909f747da191c08d967c1b","Harvard University, United States; University of Sydney, Australia","Stone, P.J., Harvard University, United States; Hunt, E.B., University of Sydney, Australia",,"Computer science; Computers; Behavioral science; Content analysis; Harvard; Program systems; Research problems; Behavioral research",,,,,"AFIPS Conf. Proc. - Spring Jt. Comput. Conf., AFIPS",Conference Paper,"Final","",Scopus
"Žliobaitė I.","8837828900;","Measuring discrimination in algorithmic decision making",2017,"Data Mining and Knowledge Discovery","31","4",,"1060","1089",,110,"10.1007/s10618-017-0506-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016635584&doi=10.1007%2fs10618-017-0506-1&partnerID=40&md5=1ce47716c783b5dd20c424c352ae504c","Department of Computer Science, University of Helsinki, Helsinki, Finland; Department of Geosciences and Geography, University of Helsinki, Helsinki, Finland","Žliobaitė, I., Department of Computer Science, University of Helsinki, Helsinki, Finland, Department of Geosciences and Geography, University of Helsinki, Helsinki, Finland","Accountability; Discrimination-aware data mining; Fairness-aware machine learning; Indirect discrimination; Predictive modeling","Artificial intelligence; Behavioral research; Decision making; Learning systems; Surveys; Accountability; Automated decision making; Computing process; Indirect discrimination; Observational data; Performance criterion; Performance of algorithm; Predictive modeling; Data mining","Žliobaitė, I.; Department of Computer Science, Finland; email: indre.zliobaite@helsinki.fi",13845810,,,"Data Min. Knowl. Discov.",Article,"Final","All Open Access, Green",Scopus
"Schmidt C., Fahlenbrach R.","57193200725;13002851900;","Do exogenous changes in passive institutional ownership affect corporate governance and firm value?",2017,"Journal of Financial Economics","124","2",,"285","306",,109,"10.1016/j.jfineco.2017.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011585271&doi=10.1016%2fj.jfineco.2017.01.005&partnerID=40&md5=2279dffb06030b15ccf157e52fc9f2fe","Department of Finance, Norwegian School of Economics (NHH), Bergen, 5045, Norway; Directorate-General for Competition, European Commission, Brussels, MADO 17/055, Belgium; Swiss Finance Institute, Ecole Polytechnique Fédérale de Lausanne (EPFL), Quartier UNIL-Dorigny, Extranef 211, Lausanne, CH-1015, Switzerland","Schmidt, C., Department of Finance, Norwegian School of Economics (NHH), Bergen, 5045, Norway, Directorate-General for Competition, European Commission, Brussels, MADO 17/055, Belgium; Fahlenbrach, R., Swiss Finance Institute, Ecole Polytechnique Fédérale de Lausanne (EPFL), Quartier UNIL-Dorigny, Extranef 211, Lausanne, CH-1015, Switzerland","Corporate governance; Index reconstitutions; Institutional ownership; Monitoring",,"Schmidt, C.; Department of Finance, Norway; email: cornelius.schmidt@nhh.no",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","All Open Access, Bronze",Scopus
"Allen F., Carletti E., Cull R., Qian J.Q.J., Senbet L., Valenzuela P.","7102515412;24435975600;7006770463;36875718300;6603204543;34267925200;","The African financial development and financial inclusion gaps",2014,"Journal of African Economies","23","5",,"614","642",,109,"10.1093/jae/eju015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942314751&doi=10.1093%2fjae%2feju015&partnerID=40&md5=1e551477a966f09264f3482c482eb9c4","Imperial College London, United Kingdom; Bocconi University, Milan, Italy; IGIER, Milan, Italy; CEPR, London, United Kingdom; World Bank, Washington, DC, United States; Shanghai Advanced Institute of Finance, Shanghai Jiao Tong University, China; Boston College, Chestnut Hill, MA, United States; University of Maryland, College Park, United States; African Economic Research Consortium, Nairobi, Kenya; Department of Industrial Engineering, University of Chile, Santiago, Chile","Allen, F., Imperial College London, United Kingdom; Carletti, E., Bocconi University, Milan, Italy, IGIER, Milan, Italy, CEPR, London, United Kingdom; Cull, R., World Bank, Washington, DC, United States; Qian, J.Q.J., Shanghai Advanced Institute of Finance, Shanghai Jiao Tong University, China, Boston College, Chestnut Hill, MA, United States; Senbet, L., University of Maryland, College Park, United States, African Economic Research Consortium, Nairobi, Kenya; Valenzuela, P., Department of Industrial Engineering, University of Chile, Santiago, Chile","Africa; Development gaps; Financial development; Financial inclusion","banking; developing world; economic development; financial services; innovation; population density; Africa","Valenzuela, P.; Department of Industrial Engineering, Chile; email: patriciov@dii.uchile.cl",09638024,,,"J. Afr. Econ.",Article,"Final","All Open Access, Green",Scopus
"Jagtiani J., Lemieux C.","6603449987;8324645300;","Do fintech lenders penetrate areas that are underserved by traditional banks?",2018,"Journal of Economics and Business","100",,,"43","54",,108,"10.1016/j.jeconbus.2018.03.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045214099&doi=10.1016%2fj.jeconbus.2018.03.001&partnerID=40&md5=93ef1bb76f68f3af9e9711aa7da7c6c6","Federal Reserve Bank of Philadelphia, United States; Federal Reserve Bank of Chicago, United States","Jagtiani, J., Federal Reserve Bank of Philadelphia, United States; Lemieux, C., Federal Reserve Bank of Chicago, United States","Banking competition; Fintech; LendingClub; Marketplace lending; Peer-to-peer lending; Shadow banking",,"Jagtiani, J.; Federal Reserve Bank of PhiladelphiaUnited States; email: julapa.Jagtiani@phil.frb.org",01486195,,JEBUD,"J. Econ. Bus.",Article,"Final","All Open Access, Green",Scopus
"Jenter D., Lewellen K.","6505493534;6504268956;","CEO Preferences and Acquisitions",2015,"Journal of Finance","70","6",,"2813","2852",,106,"10.1111/jofi.12283","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946761505&doi=10.1111%2fjofi.12283&partnerID=40&md5=349a0c79e61e7b80e7cc7bf122dbb2ff","London School of Economics, Stanford University, NBER, United States; Tuck School at Dartmouth, United States","Jenter, D., London School of Economics, Stanford University, NBER, United States; Lewellen, K., Tuck School at Dartmouth, United States",,,,00221082,,,"J. Financ.",Article,"Final","All Open Access, Green",Scopus
"Gormley T.A., Matsa D.A.","32667824600;24449449900;","Growing out of trouble? corporate responses to liability risk",2011,"Review of Financial Studies","24","8",,"2781","2821",,106,"10.1093/rfs/hhr011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960519580&doi=10.1093%2frfs%2fhhr011&partnerID=40&md5=2a2e08cb7f006316208d63b44e8c65dc","University of Pennsylvania, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208, United States; Kellogg School of Management, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208, United States","Gormley, T.A., University of Pennsylvania, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208, United States; Matsa, D.A., Kellogg School of Management, Northwestern University, 2001 Sheridan Road, Evanston, IL 60208, United States",,,"Matsa, D.A.; Kellogg School of Management, 2001 Sheridan Road, Evanston, IL 60208, United States; email: dmatsa@kellogg.northwestern.edu",08939454,,,"Rev. Financ. Stud.",Article,"Final","All Open Access, Green",Scopus
"Duchin R., Schmidt B.","6504776362;55366239200;","Riding the merger wave: Uncertainty, reduced monitoring, and bad acquisitions",2013,"Journal of Financial Economics","107","1",,"69","88",,105,"10.1016/j.jfineco.2012.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870370310&doi=10.1016%2fj.jfineco.2012.07.003&partnerID=40&md5=347cc1d0e6a46b14ec5b6234e1c2c827","Foster School of Business, University of Washington, Seattle, WA 98195, United States; Goizueta Business School, Emory University, United States","Duchin, R., Foster School of Business, University of Washington, Seattle, WA 98195, United States; Schmidt, B., Goizueta Business School, Emory University, United States","Governance; Merger waves; Mergers and acquisitions; Turnover; Uncertainty",,"Duchin, R.; Foster School of Business, , Seattle, WA 98195, United States; email: duchin@uw.edu",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
"Chhaochharia V., Kumar A., Niessen-Ruenzi A.","18633412500;55716707600;55195745000;","Local investors and corporate governance",2012,"Journal of Accounting and Economics","54","1",,"42","67",,104,"10.1016/j.jacceco.2012.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862262574&doi=10.1016%2fj.jacceco.2012.03.002&partnerID=40&md5=4f92b40b371e795633eda9977378f40c","University of Miami, United States; University of Mannheim, Germany","Chhaochharia, V., University of Miami, United States; Kumar, A., University of Miami, United States; Niessen-Ruenzi, A., University of Mannheim, Germany","Corporate governance; Institutional investors; Local bias; Monitoring; Shareholder proximity",,"Kumar, A.; Department of Finance, 514 Jenkins Building, Coral Gables, FL 33124, United States; email: akumar@miami.edu",01654101,,JAECD,"J. Account. Econ.",Article,"Final","",Scopus
"Werbach K., Cornell N.","6508342886;56925019100;","Contracts ex machina",2017,"Duke Law Journal","67","2",,"313","382",,103,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034790368&partnerID=40&md5=e696f8d48267cfbd95df24d0003a23ab","Legal Studies and Business Ethics Department, The Wharton School, University of Pennsylvania, United States; University of Michigan Law School, United States","Werbach, K., Legal Studies and Business Ethics Department, The Wharton School, University of Pennsylvania, United States; Cornell, N., University of Michigan Law School, United States",,,,00127086,,,"Duke Law J.",Article,"Final","",Scopus
"Khatwani G., Singh S.P., Trivedi A., Chauhan A.","56483258600;57199578228;56482859500;57214535449;","Fuzzy-TISM: A Fuzzy Extension of TISM for Group Decision Making",2015,"Global Journal of Flexible Systems Management","16","1",,"97","112",,103,"10.1007/s40171-014-0087-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921019273&doi=10.1007%2fs40171-014-0087-4&partnerID=40&md5=25f6102ce62e797d8c066683c1c419c0","Indian Institute of Management Rohtak, Rohtak, India; Indian Institute of Technology Delhi, Delhi, India","Khatwani, G., Indian Institute of Management Rohtak, Rohtak, India; Singh, S.P., Indian Institute of Technology Delhi, Delhi, India; Trivedi, A., Indian Institute of Management Rohtak, Rohtak, India; Chauhan, A., Indian Institute of Management Rohtak, Rohtak, India","Fuzzy systems; Group decision making; Interpretive structural modeling (ISM); Multi-criteria decision making; Total interpretive structural modeling (TISM); Vendor selection problem",,"Singh, S.P.; Indian Institute of Technology DelhiIndia; email: surya.singh@gmail.com",09722696,,,"Global J. Flexible Syst. Manage.",Article,"Final","",Scopus
"Admati A., Hellwig M.","6507618728;7003944924;","The bankers' new clothes: What's wrong with banking and what to do about it",2014,"The Bankers' New Clothes: What's Wrong with Banking and What to Do about It",,,,"1","398",,103,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924489162&partnerID=40&md5=21f4b48655e55061da065610adb1e48b","Stanford University, Graduate School of Business, United States; Max Planck Institute for Research on Collective Goods, Germany","Admati, A., Stanford University, Graduate School of Business, United States; Hellwig, M., Max Planck Institute for Research on Collective Goods, Germany",,,"Admati, A.; Stanford University, Graduate School of BusinessUnited States",,9781400851195; 9780691162386,,"The Bank. New Clothes: What's Wrong with Bank. and What to Do about It",Book,"Final","",Scopus
"Scott S.V., Van Reenen J., Zachariadis M.","7401505783;7005708650;55279418500;","The long-term effect of digital innovation on bank performance: An empirical study of SWIFT adoption in financial services",2017,"Research Policy","46","5",,"984","1004",,102,"10.1016/j.respol.2017.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017151204&doi=10.1016%2fj.respol.2017.03.010&partnerID=40&md5=47bcb249371f4c230ea59432492466fc","Information Systems & Innovation Group, Department of Management, London School of Economics & Political Science, Houghton Street, London, WC2A 2AE, United Kingdom; MIT Sloan School of Management and Department of Economics, Massachusetts Institute of Technology, CEP, NBER, CEPR, 77 Massachusetts Avenue, Cambridge, MA  02139, United States; Information Systems & Management Group, Warwick Business School, University of Warwick, Scarman Road, Coventry, CV4 7AL, United Kingdom","Scott, S.V., Information Systems & Innovation Group, Department of Management, London School of Economics & Political Science, Houghton Street, London, WC2A 2AE, United Kingdom; Van Reenen, J., MIT Sloan School of Management and Department of Economics, Massachusetts Institute of Technology, CEP, NBER, CEPR, 77 Massachusetts Avenue, Cambridge, MA  02139, United States; Zachariadis, M., Information Systems & Management Group, Warwick Business School, University of Warwick, Scarman Road, Coventry, CV4 7AL, United Kingdom","Bank performance; Financial services; Network innovation; SWIFT; Technology adoption","Profitability; Bank performance; Financial service; Network innovations; SWIFT; Technology adoption; Innovation","Zachariadis, M.; Information Systems & Management Group, Scarman Road, United Kingdom; email: markos.zachariadis@wbs.ac.uk",00487333,,REPYB,"Res Policy",Article,"Final","All Open Access, Green",Scopus
"Drake M.S., Roulstone D.T., Thornock J.R.","33367628600;6506748332;37125061600;","The Determinants and Consequences of Information Acquisition via EDGAR",2015,"Contemporary Accounting Research","32","3",,"1128","1161",,102,"10.1111/1911-3846.12119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941192475&doi=10.1111%2f1911-3846.12119&partnerID=40&md5=7ac83149efdb9e75630ba305d8c0d4ab","Brigham Young University, United States; The Ohio State University, United States; University of Washington, United States","Drake, M.S., Brigham Young University, United States; Roulstone, D.T., The Ohio State University, United States; Thornock, J.R., University of Washington, United States",,,,08239150,,,"Contemp. Account. Res.",Article,"Final","",Scopus
