raw_source_title,issn,eissn,subject_areas
"Contributions to Conflict Management, Peace Economics and Development",15728323,,"Business, Management and Accounting; Social Sciences"
Contributions to Discrete Mathematics,17150868,,Mathematics
Contributions to Economic Analysis,05738555,,"Economics, Econometrics and Finance"
Contributions to Economic Analysis and Policy,15380645,,"Economics, Econometrics and Finance"
Contributions to Economics,14311933,,"Economics, Econometrics and Finance"
Contributions to Finance and Accounting,27306038,27306046,"Business, Management and Accounting; Economics, Econometrics and Finance"
"Contributions to Geology - University of Wyoming, Laramie",00107980,,Earth and Planetary Sciences; Environmental Science
Contributions to Geophysics and Geodesy,13352806,13380540,Earth and Planetary Sciences
Contributions to Gynecology and Obstetrics,03044246,,Medicine
Contributions to Human Development,03014193,16642570,Psychology
Contributions to Indian Sociology,00699659,09730648,Social Sciences
Contributions to International Relations,27315061,2731507X,Social Sciences
Contributions to Macroeconomics,15346005,,"Economics, Econometrics and Finance"
Contributions to Management Science,14311941,2197716X,"Business, Management and Accounting; Decision Sciences"
Contributions to Microbiology,14209519,1662291X,Immunology and Microbiology; Medicine
Contributions to microbiology and immunology,03013081,,Medicine
Contributions to Mineralogy and Petrology,00107999,14320967,Earth and Planetary Sciences
Contributions to Nephrology,03025144,16622782,Medicine
Contributions to Oncology / Beitrage zur Onkologie,16622928,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Contributions To Phenomenology,09239545,22151915,Arts and Humanities
Contributions to Plasma Physics,08631042,15213986,Physics and Astronomy
Contributions to Political Economy,02775921,14643588,"Economics, Econometrics and Finance; Social Sciences"
Contributions to Political Science,21987289,21987297,Social Sciences
Contributions to Sedimentary Geology,14363542,,Earth and Planetary Sciences
Contributions to the History of Concepts,18079326,1874656X,Arts and Humanities; Social Sciences
Contributions to Theoretical Economics,15345971,,"Economics, Econometrics and Finance"
Contributions to Zoology,13834517,,Agricultural and Biological Sciences
Control,10495541,,Engineering
Control and computers,07309538,,Engineering
Control and Cybernetics,03248569,,Engineering; Mathematics
Control and Dynamic Systems,00905267,,Computer Science; Engineering
Control and Instrumentation,00108022,,Engineering
Control and Intelligent Systems,14801752,,Computer Science; Engineering
Control Engineering,00108049,,Engineering
Control Engineering and Applied Informatics,14548658,,Computer Science; Engineering
Control Engineering Practice,09670661,,Computer Science; Engineering; Mathematics
Control Solutions International,15321274,,Engineering
Control Theory and Technology,20956983,21980942,Computer Science; Engineering; Mathematics
Controle and Automacao,01031759,,Computer Science; Engineering
Controlled Clinical Trials,01972456,,"Pharmacology, Toxicology and Pharmaceutics"
Convergence,13548565,17487382,Arts and Humanities; Social Sciences
Convergences Medicales,07500785,,Medicine
Convergencia,14051435,,Social Sciences
Convergencias: Revista de Investigacao e Ensino das Artes,21840180,16469054,Arts and Humanities
Converging Evidence in Language and Communication Research,15667774,,Social Sciences
Converter,00108189,00108189,Chemical Engineering; Engineering; Materials Science
Converting Magazine,07467141,,Chemical Engineering; Engineering; Materials Science
Converting Today,0264715X,,Engineering
Convivium,00108235,22552855,Arts and Humanities
Convivium (Czech Republic),23363452,2336808X,Arts and Humanities
Convivium (Poland),21968403,26576252,Arts and Humanities; Social Sciences
Convulsive Therapy,07498055,,Medicine
Cooperation and Conflict,00108367,14603691,Social Sciences
Cooperativismo e Economia Social,11302682,26606348,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Coordination Chemistry Reviews,00108545,,Chemistry; Materials Science
COPD: Journal of Chronic Obstructive Pulmonary Disease,15412555,15412563,Medicine
Copeia,00458511,19385110,Agricultural and Biological Sciences
Copenhagen Journal of Asian Studies,13954199,,Social Sciences
Copenhagen Papers in East & Southeast Asian Studies,09032703,,Earth and Planetary Sciences; Environmental Science
Cor et Vasa,00108650,18037712,Medicine
Cor Europaeum - European Journal of Cardiac Interventions,09398147,,Medicine
Coral Reefs,07224028,14320975,Agricultural and Biological Sciences
Core Evidence,15551741,1555175X,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Corella,01550438,,Agricultural and Biological Sciences
Cormorant,02500213,,Earth and Planetary Sciences; Environmental Science
Cornea,02773740,15364798,Medicine
Cornell Engineering Quarterly,10679642,,Engineering
Cornell Hospitality Quarterly,19389655,19389663,"Business, Management and Accounting"
Cornell Hotel and Restaurant Administration Quarterly,00108804,15523853,"Business, Management and Accounting"
Cornell International Law Journal,00108812,,Social Sciences
Cornell Journal of Law and Public Policy,10690565,,Social Sciences
Cornell Law Review,00108847,,Social Sciences
Cornova,18046983,27879151,Arts and Humanities
Coronary Artery Disease,09546928,14735830,Medicine
Coronary Health Care,13623265,,Medicine
Coronaviruses,26667967,26667975,Immunology and Microbiology; Medicine
Corpora,17495032,17551676,Arts and Humanities; Social Sciences
Corporate and Business Strategy Review,27089924,27084965,"Business, Management and Accounting; Decision Sciences; Earth and Planetary Sciences"
"Corporate Board: Role, Duties and Composition",18108601,23122722,"Business, Management and Accounting; Decision Sciences"
Corporate Communications,13563289,,"Business, Management and Accounting"
Corporate Environmental Strategy,10667938,,"Business, Management and Accounting; Environmental Science"
Corporate Governance (Bingley),14720701,,"Business, Management and Accounting"
Corporate Governance and Organizational Behavior Review,25211870,25211889,"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
Corporate Governance: An International Review,09648410,14678683,"Business, Management and Accounting"
Corporate Law and Governance Review,27071111,26641542,"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
Corporate Ownership and Control,17279232,18103057,"Business, Management and Accounting"
Corporate Reputation Review,13633589,14791889,"Business, Management and Accounting"
Corporate Social Responsibility and Environmental Management,15353958,15353966,"Business, Management and Accounting; Environmental Science; Social Sciences"
Corps and Psychisme,24964476,25536087,Medicine; Psychology
Corpus Linguistics and Linguistic Theory,16137027,16137035,Arts and Humanities; Social Sciences
Corpus Pragmatics,,25099515,Arts and Humanities; Computer Science; Social Sciences
"Corrections: Policy, Practice, and Research",23774657,23774665,Social Sciences
Correo poblacional y de la salud / Centro de Estudios de Poblacion y Paternidad Responsable,1390082X,,Medicine
Correspondances en MHND,21009619,,Agricultural and Biological Sciences; Medicine
Corrosion,00109312,1938159X,Chemical Engineering; Chemistry; Materials Science
Corrosion and Coatings,03778711,,Materials Science
Corrosion and Materials,13261932,,Chemistry; Materials Science
Corrosion and Materials Degradation,,26245558,Materials Science
Corrosion and Protection,1005748X,,Chemical Engineering; Chemistry; Materials Science
Corrosion Communications,,26672669,Materials Science
Corrosion Engineering,00109355,18841155,Engineering
Corrosion Engineering Science and Technology,1478422X,17432782,Chemical Engineering; Chemistry; Materials Science
Corrosion Management,13555243,,Chemical Engineering; Chemistry; Materials Science
Corrosion Prevention and Control,00109371,,Materials Science
Corrosion Reviews,03346005,21910316,Chemical Engineering; Chemistry; Materials Science
Corrosion Science,0010938X,,Chemical Engineering; Chemistry; Materials Science
Corrosion Science and Protection Technology,10026495,,Chemical Engineering; Chemistry; Materials Science
Corrosion Science and Technology,15986462,22886524,Chemistry; Materials Science
Corrosion Series,18759491,,Chemical Engineering; Chemistry; Materials Science
Corrugated and Carton Packaging Bulletin,1361164X,,Engineering
Cortex,00109452,19738102,Neuroscience; Psychology
Corvinus Journal of Sociology and Social Policy,20615558,2062087X,"Economics, Econometrics and Finance; Social Sciences"
Cosmetic Dermatology,10413766,,Medicine
Cosmetics,,20799284,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Cosmetologica,0070055X,,Medicine
Cosmic Research,00109525,16083075,Earth and Planetary Sciences; Engineering; Physics and Astronomy
Cosmopolitan Civil Societies,,18375391,Social Sciences
Cosmos and History,18329101,,Arts and Humanities
COSPAR Colloquia Series,09642749,,Earth and Planetary Sciences; Engineering; Physics and Astronomy
COSSMA,14397676,,Engineering; Materials Science
Cost & quality : CQ,,,Medicine
Cost & quality quarterly journal : CQ,10795057,,Medicine
Cost Effectiveness and Resource Allocation,,14787547,Medicine
"Cost Engineering (Morgantown, West Virginia)",02749696,,Engineering
Costerus New Series,01659618,,Arts and Humanities
Costume,05908876,17496306,"Arts and Humanities; Business, Management and Accounting"
Cotinga,1353985X,,Agricultural and Biological Sciences
Cough,17459974,,Medicine
Counseling and Values,01607960,2161007X,Arts and Humanities; Psychology
Counseling Outcome Research and Evaluation,21501378,21501386,Psychology
Counseling Psychologist,00110000,15523861,Psychology
Counseling Psychology and Psychotherapy,20753470,23119446,Psychology; Social Sciences
Counselling and Psychotherapy Research,14733145,17461405,Medicine; Psychology
Counselling Psychology Quarterly,09515070,14693674,Medicine; Psychology
Counselling Psychology Review,17572142,23968672,Medicine; Psychology
Counselor Education and Supervision,00110035,15566978,Psychology; Social Sciences
CounterText,20564406,20564414,Arts and Humanities
Couple and Family Psychology: Research and Practice,21604096,2160410X,Psychology
Coupled Systems Mechanics,22342184,22342192,Engineering
Courrier des Pays de l'Est,05900239,,"Economics, Econometrics and Finance; Social Sciences"
Cours specialises,12846090,,Mathematics; Social Sciences
Court Historian,14629712,20563450,Arts and Humanities
CPD Anaesthesia,14662922,,Medicine
CPD Bulletin Cellular Pathology,14642506,,Medicine
CPD Bulletin Clinical Biochemistry,13678930,,"Biochemistry, Genetics and Molecular Biology"
CPD Bulletin Immunology and Allergy,13678949,,Medicine
CPD Bulletin Neurology,1466142X,,Medicine
CPD Bulletin Old Age Psychiatry,14642514,,"Biochemistry, Genetics and Molecular Biology; Medicine"
CPD Bulletin Psychiatry,1463046X,,Medicine
CPD Infection,14681668,,Medicine
CPD Journal Acute Medicine,14765063,,Medicine
CPD Journal Internal Medicine,14662914,,Medicine
CPD Journal Radiology Update,17502519,,Medicine
CPD Rheumatology,13678922,,Medicine
CPSS Transactions on Power Electronics and Applications,2475742X,,Energy; Engineering
CPT: Pharmacometrics and Systems Pharmacology,21638306,,Mathematics; Medicine
